id,dataset,file_type,variable,dataset_var,entry_start_date,entry_end_date,temporal_resolution,units,aggregation,grid,file_grouping,security_level,path,documentation_notes,site_type
1,conus1_baseline_85,pfmetadata,pressure_head,pressure,10/1/84,1/21/85,daily,m,mean,conus1,wy_daynum,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/conus1_pfclm_daily_1985.pfmetadata,,
2,conus1_baseline_85,pfb,pressure_head,pressure,10/1/84,1/21/85,daily,m,mean,conus1,wy,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/WY{wy}/pressure.daily.mean.{wy_daynum:03d}.pfb,,
3,conus1_baseline_mod,pfmetadata,evapotranspiration,et,,,daily,mm/d,sum,conus1,wy,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/conus1_pfclm_daily_{wy}.pfmetadata,,
4,conus1_baseline_mod,pfmetadata,soil_moisture,soil_moisture,,,daily,kg/m2,mean,conus1,wy,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/conus1_pfclm_daily_{wy}.pfmetadata,,
5,conus1_baseline_mod,pfmetadata,water_table_depth,water_table_depth,,,daily,m,mean,conus1,wy,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/conus1_pfclm_daily_{wy}.pfmetadata,,
6,conus1_baseline_mod,pfmetadata,pressure_head,pressure,,,daily,m,mean,conus1,wy,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/conus1_pfclm_daily_{wy}.pfmetadata,,
7,conus1_baseline_mod,pfmetadata,swe,swe,,,daily,m,eod,conus1,wy_daynum,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/conus1_pfclm_daily_{wy}.pfmetadata,,
8,conus1_baseline_mod,pfb,evapotranspiration,et,,,daily,mm/d,sum,conus1,wy_daynum,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/WY{wy}/et.daily.sum.{wy_daynum:03d}.pfb,,
9,conus1_baseline_mod,pfb,soil_moisture,soil_moisture,,,daily,kg/m2,mean,conus1,wy_daynum,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/WY{wy}/sm.daily.mean.{wy_daynum:03d}.pfb,,
10,conus1_baseline_mod,pfb,water_table_depth,wtd,,,daily,m,mean,conus1,wy_daynum,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/WY{wy}/wtd.daily.mean.{wy_daynum:03d}.pfb,,
11,conus1_baseline_mod,pfb,pressure_head,pressure,,,daily,m,mean,conus1,wy_daynum,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/WY{wy}/pressure.daily.mean.{wy_daynum:03d}.pfb,,
12,conus1_baseline_mod,pfb,swe,swe,,,daily,m,eod,conus1,wy_daynum,1,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/WY{wy}/swe.daily.eod.{wy_daynum:03d}.pfb,,
13,conus1_baseline_mod,zarr,evapotranspiration,et,,,daily,mm/d,sum,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
14,conus1_baseline_mod,zarr,soil_moisture,soil_moisture,,,daily,kg/m2,mean,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
15,conus1_baseline_mod,zarr,water_table_depth,water_table_depth,,,daily,m,mean,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
16,conus1_baseline_mod,zarr,pressure_head,pressure,,,daily,m,mean,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
17,conus1_baseline_mod,zarr,swe,swe,,,daily,m,eod,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
18,conus1_baseline_mod,zarr,precipitation,APCP,,,daily,?,?,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
19,conus1_baseline_mod,zarr,air_temp,Temp_Max,,,daily,K,max,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
20,conus1_baseline_mod,zarr,air_temp,Temp_Min,,,daily,K,min,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
21,conus1_baseline_mod,zarr,streamflow,streamflow,,,daily,m3/h,-,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
22,conus1_baseline_mod,zarr,swe_melt,melt,,,daily,mm,,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
23,conus1_baseline_mod,zarr,pressure_next,pressure_next,,,daily,m,tbd,conus1,wy,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_{wy}_preprocessed.zarr,,
24,conus1_domain,zarr,latitude,latitude,,,static,degrees_north,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
25,conus1_domain,zarr,longitude,longitude,,,static,degrees_east,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
26,conus1_domain,zarr,permeability,permeability,,,static,m/h,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
27,conus1_domain,zarr,topographic_index,topographic_index,,,static,-,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
28,conus1_domain,zarr,drainage_area,drainage_area,,,static,km2,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
29,conus1_domain,zarr,porosity,porosity,,,static,-,static,conus1,,3,/hydrodata/PFCLM/CONUS1_baseline/simulations/daily/zarr/conus1_2003_preprocessed.zarr,,
